,Address,Type
IUPUI,"415 Porto Alegre St, Indianapolis, IN 46202",Housing
The Speak Easy,"5255 Winthrop Ave #110, Indianapolis, IN 46220",Coworking
zWORKS,"85 E Cedar St #1502, Zionsville, IN 46077",Coworking
Launch Fishers,"12175 Visionary Way, Fishers, IN 46038",Coworking
Industrious Mass Ave,"350 Massachusetts Ave Suite 300, Indianapolis, IN 46204",Coworking
Launch Indy,"525 S Meridian St, Indianapolis, IN 46225",Coworking
Paco's Taqueria,"4390 N Keystone Ave Indianapolis, IN 46205",Restuarant
Chef Oya's The Trap,"3355 N Keystone Ave Indianapolis, IN 46218",Restuarant
Root & Bone,"4601 N College Ave Indianapolis, IN 46205",Restuarant
Jockamo Upper Crust Pizza,"5646 E. Washington St. Indianapolis, IN 46219",Restuarant
Bluebeard,"653 Virginia Ave. Indianapolis, IN 46203",Restuarant
Yats,"5363 N College Ave Indianapolis, IN 46220",Restuarant
Big Lug Canteen,"1435 E. 86th St., Ste. B Indianapolis, IN 46240",Restuarant
Mama Carolla's Old Italian Restaurant,"1031 E. 54th St Indianapolis, IN 46220",Restuarant
Chapati,"4930 Lafayette Rd G Indianapolis, IN 46254",Restuarant
St Elmo Steak House,"127 S. Illinois St. Indianapolis, IN 46225",Restuarant
Indy 500,"4790 W. 16th St., Indianapolis, IN 46222",Event Location
Antony and Cleopatra,"3 Center Green, Carmel, IN 46032",Event Location
Fowling,"1125 E. Brookside Ave. Indianapolis, IN 46",Event Location
Backstreet Boys,"12880 E. 146th St., Noblesville, IN 46060",Event Location
Newfields,"4000 N Michigan Rd, Indianapolis, IN 46208",Event Location
Workplace Reflective Practice,"9465 Counselors Row Washington Township, Suite 200, Indianapolis, IN 46240",Event Location
